📺央视卫视频道,#genre#
快乐垂钓,http://182.140.110.75:5050/rtp/239.94.1.153:5140
生活时尚,http://182.140.110.75:5050/rtp/239.94.1.146:5140
中国交通,http://182.140.110.75:5050/rtp/239.94.0.87:5140
中国天气,http://182.140.110.75:5050/rtp/239.94.1.167:5140
乐游,http://182.140.110.75:5050/rtp/239.94.1.164:5140
动漫秀场,http://182.140.110.75:5050/rtp/239.94.1.171:5140
重庆卫视,http://182.140.110.75:5050/rtp/239.94.0.82:5140
江苏卫视,http://182.140.110.75:5050/rtp/239.94.0.62:5140
浙江卫视,http://182.140.110.75:5050/rtp/239.94.0.63:5140
东方卫视,http://182.140.110.75:5050/rtp/239.94.0.64:5140
深圳卫视,http://182.140.110.75:5050/rtp/239.94.0.66:5140
北京卫视,http://182.140.110.75:5050/rtp/239.94.0.65:5140
山东卫视,http://182.140.110.75:5050/rtp/239.94.0.69:5140
天津卫视,http://182.140.110.75:5050/rtp/239.94.0.68:5140
贵州卫视,http://182.140.110.75:5050/rtp/239.94.0.83:5140
四川卫视,http://182.140.110.75:5050/rtp/239.94.0.60:5140
四川卫视,http://182.140.110.75:5050/rtp/239.94.0.59:5140
云南卫视,http://182.140.110.75:5050/rtp/239.94.0.90:5140
广西卫视,http://182.140.110.75:5050/rtp/239.94.0.89:5140
黑龙江卫视,http://182.140.110.75:5050/rtp/239.94.0.81:5140
安徽卫视,http://182.140.110.75:5050/rtp/239.94.0.85:5140
江西卫视,http://182.140.110.75:5050/rtp/239.94.0.79:5140
湖北卫视,http://182.140.110.75:5050/rtp/239.94.0.84:5140
陕西卫视,http://182.140.110.75:5050/rtp/239.94.0.92:5140
东南卫视,http://182.140.110.75:5050/rtp/239.94.0.80:5140
吉林卫视,http://182.140.110.75:5050/rtp/239.94.0.91:5140
辽宁卫视,http://182.140.110.75:5050/rtp/239.94.0.101:5140
湖南卫视,http://182.140.110.75:5050/rtp/239.94.0.61:5140
广东卫视,http://182.140.110.75:5050/rtp/239.94.0.67:5140
河南卫视,http://182.140.110.75:5050/rtp/239.94.0.88:5140
河北卫视,http://182.140.110.75:5050/rtp/239.94.0.86:5140
宁夏卫视,http://182.140.110.75:5050/rtp/239.94.0.96:5140
甘肃卫视,http://182.140.110.75:5050/rtp/239.94.0.99:5140
新疆卫视,http://182.140.110.75:5050/rtp/239.94.0.98:5140
西藏卫视,http://182.140.110.75:5050/rtp/239.94.0.97:5140
兵团卫视,http://182.140.110.75:5050/rtp/239.94.0.102:5140
康巴卫视,http://182.140.110.75:5050/rtp/239.94.0.78:5140
凤凰中文,http://182.140.110.75:5050/rtp/239.94.2.51:5140
凤凰中文,http://182.140.110.75:5050/rtp/239.94.2.52:5140
凤凰资讯,http://182.140.110.75:5050/rtp/239.94.2.49:5140
凤凰资讯,http://182.140.110.75:5050/rtp/239.94.2.50:5140
北京纪实科教,http://182.140.110.75:5050/rtp/239.94.0.109:5140
东方财经,http://182.140.110.75:5050/rtp/239.94.1.59:5140
都市剧场,http://182.140.110.75:5050/rtp/239.94.1.133:5140
四川文化旅游,http://182.140.110.75:5050/rtp/239.94.0.71:5140
四川文化旅游,http://182.140.110.75:5050/rtp/239.94.1.11:5140
四川文化旅游,http://182.140.110.75:5050/rtp/239.94.1.5:5140
四川文化旅游,http://182.140.110.75:5050/rtp/239.94.1.6:5140
四川经济,http://182.140.110.75:5050/rtp/239.94.0.70:5140
四川新闻,http://182.140.110.75:5050/rtp/239.94.0.72:5140
四川新闻,http://182.140.110.75:5050/rtp/239.94.1.3:5140
四川新闻,http://182.140.110.75:5050/rtp/239.94.2.26:5140
四川影视文艺,http://182.140.110.75:5050/rtp/239.94.0.73:5140
四川星空购物,http://182.140.110.75:5050/rtp/239.94.0.74:5140
四川妇女儿童,http://182.140.110.75:5050/rtp/239.94.0.75:5140
四川科教,http://182.140.110.75:5050/rtp/239.94.0.76:5140
四川乡村,http://182.140.110.75:5050/rtp/239.94.0.77:5140
四川乡村,http://182.140.110.75:5050/rtp/239.94.1.4:5140
四川乡村,http://182.140.110.75:5050/rtp/239.94.1.8:5140
峨眉电影,http://182.140.110.75:5050/rtp/239.94.0.103:5140
成都综合,http://182.140.110.75:5050/rtp/239.94.0.154:5140
成都经济,http://182.140.110.75:5050/rtp/239.94.0.155:5140
成都都市,http://182.140.110.75:5050/rtp/239.94.0.156:5140
成都影视,http://182.140.110.75:5050/rtp/239.94.0.157:5140
成都公共,http://182.140.110.75:5050/rtp/239.94.0.158:5140
成都少儿,http://182.140.110.75:5050/rtp/239.94.0.159:5140
成都蓉城先锋,http://182.140.110.75:5050/rtp/239.94.0.160:5140
成都蓉城先锋,http://182.140.110.75:5050/rtp/239.94.1.57:5140
乐山综合,http://182.140.110.75:5050/rtp/239.94.0.162:5140
